,maquina_id,linha,turno,data_registro,desconto_min,afeta,tempo_esperado_min,reparo
292,TMF011,4,MAT,2023-12-05,0.0,8.0,480.0,0.016666666666666666
293,TMF011,4,VES,2023-12-05,0.0,0.0,480.0,0.0
294,TMF011,4,NOT,2023-12-06,0.0,0.0,480.0,0.0
295,TMF011,4,MAT,2023-12-06,0.0,8.0,480.0,0.016666666666666666
296,TMF011,4,VES,2023-12-06,0.0,0.0,480.0,0.0
297,TMF011,4,NOT,2023-12-07,0.0,0.0,480.0,0.0
298,TMF011,4,MAT,2023-12-07,0.0,8.0,480.0,0.016666666666666666
299,TMF011,4,VES,2023-12-07,0.0,0.0,480.0,0.0
300,TMF011,4,NOT,2023-12-08,0.0,0.0,480.0,0.0
301,TMF011,4,MAT,2023-12-08,0.0,26.0,480.0,0.05416666666666667
302,TMF011,4,VES,2023-12-08,0.0,0.0,480.0,0.0
303,TMF011,4,NOT,2023-12-09,0.0,0.0,480.0,0.0
304,TMF011,4,MAT,2023-12-09,0.0,12.0,480.0,0.025
305,TMF011,4,VES,2023-12-09,0.0,0.0,480.0,0.0
306,TMF011,4,NOT,2023-12-10,0.0,0.0,480.0,0.0
307,TMF011,4,MAT,2023-12-10,0.0,0.0,480.0,0.0
308,TMF011,4,VES,2023-12-10,0.0,0.0,480.0,0.0
309,TMF011,4,NOT,2023-12-11,0.0,0.0,480.0,0.0
310,TMF011,4,MAT,2023-12-11,0.0,0.0,480.0,0.0
311,TMF011,4,VES,2023-12-11,0.0,0.0,480.0,0.0
312,TMF011,4,NOT,2023-12-12,0.0,0.0,480.0,0.0
313,TMF011,4,MAT,2023-12-12,0.0,4.0,480.0,0.008333333333333333
314,TMF011,4,VES,2023-12-12,0.0,0.0,480.0,0.0
315,TMF011,4,NOT,2023-12-13,0.0,10.0,480.0,0.020833333333333332
316,TMF011,4,MAT,2023-12-13,0.0,0.0,480.0,0.0
317,TMF011,4,VES,2023-12-13,0.0,0.0,480.0,0.0
318,TMF011,4,NOT,2023-12-14,0.0,0.0,480.0,0.0
319,TMF011,4,MAT,2023-12-14,0.0,18.0,480.0,0.0375
320,TMF011,4,VES,2023-12-14,0.0,0.0,480.0,0.0
321,TMF011,4,NOT,2023-12-15,0.0,0.0,480.0,0.0
322,TMF011,4,MAT,2023-12-15,0.0,6.0,480.0,0.0125
323,TMF011,4,VES,2023-12-15,0.0,0.0,480.0,0.0
324,TMF011,4,NOT,2023-12-16,0.0,0.0,480.0,0.0
325,TMF011,4,MAT,2023-12-16,0.0,68.0,480.0,0.14166666666666666
326,TMF011,4,VES,2023-12-16,0.0,0.0,480.0,0.0
327,TMF011,4,NOT,2023-12-17,0.0,0.0,480.0,0.0
328,TMF011,4,MAT,2023-12-17,0.0,0.0,480.0,0.0
329,TMF011,4,VES,2023-12-17,0.0,0.0,480.0,0.0
330,TMF011,4,NOT,2023-12-18,0.0,0.0,480.0,0.0
331,TMF011,4,MAT,2023-12-18,0.0,0.0,480.0,0.0
332,TMF011,4,VES,2023-12-18,0.0,52.0,480.0,0.10833333333333334
333,TMF011,4,NOT,2023-12-19,0.0,0.0,480.0,0.0
334,TMF011,4,MAT,2023-12-19,0.0,146.0,480.0,0.30416666666666664
335,TMF011,4,VES,2023-12-19,0.0,70.0,480.0,0.14583333333333334
336,TMF011,4,NOT,2023-12-20,0.0,0.0,480.0,0.0
337,TMF011,4,MAT,2023-12-20,0.0,30.0,480.0,0.0625
338,TMF011,4,VES,2023-12-20,0.0,0.0,480.0,0.0
339,TMF011,4,NOT,2023-12-21,0.0,0.0,480.0,0.0
340,TMF011,4,MAT,2023-12-21,0.0,34.0,480.0,0.07083333333333333
341,TMF011,4,VES,2023-12-21,0.0,0.0,480.0,0.0
342,TMF011,4,NOT,2023-12-22,0.0,0.0,480.0,0.0
343,TMF011,4,MAT,2023-12-22,0.0,2.0,480.0,0.004166666666666667
344,TMF011,4,VES,2023-12-22,0.0,0.0,480.0,0.0
345,TMF011,4,NOT,2023-12-23,0.0,0.0,480.0,0.0
346,TMF011,4,MAT,2023-12-23,0.0,18.0,480.0,0.0375
347,TMF011,4,VES,2023-12-23,0.0,0.0,480.0,0.0
348,TMF011,4,NOT,2023-12-24,0.0,0.0,480.0,0.0
349,TMF011,4,MAT,2023-12-24,0.0,0.0,480.0,0.0
350,TMF011,4,VES,2023-12-24,0.0,0.0,480.0,0.0
351,TMF011,4,NOT,2023-12-25,0.0,0.0,480.0,0.0
352,TMF011,4,MAT,2023-12-25,0.0,0.0,480.0,0.0
353,TMF011,4,VES,2023-12-25,0.0,0.0,480.0,0.0
354,TMF011,4,NOT,2023-12-26,0.0,0.0,480.0,0.0
355,TMF011,4,MAT,2023-12-26,0.0,30.0,480.0,0.0625
356,TMF011,4,VES,2023-12-26,0.0,0.0,480.0,0.0
357,TMF011,4,NOT,2023-12-27,0.0,0.0,480.0,0.0
358,TMF011,4,MAT,2023-12-27,0.0,0.0,480.0,0.0
359,TMF011,4,VES,2023-12-27,0.0,102.0,480.0,0.2125
360,TMF011,4,NOT,2023-12-28,0.0,0.0,480.0,0.0
361,TMF011,4,MAT,2023-12-28,0.0,10.0,480.0,0.020833333333333332
362,TMF011,4,VES,2023-12-28,0.0,0.0,480.0,0.0
363,TMF011,4,NOT,2023-12-29,0.0,0.0,480.0,0.0
364,TMF011,4,MAT,2023-12-29,0.0,4.0,480.0,0.008333333333333333
365,TMF011,4,VES,2023-12-29,0.0,0.0,480.0,0.0
366,TMF011,4,NOT,2023-12-30,0.0,0.0,480.0,0.0
367,TMF011,4,MAT,2023-12-30,0.0,0.0,480.0,0.0
368,TMF011,4,VES,2023-12-30,0.0,0.0,480.0,0.0
369,TMF011,4,NOT,2023-12-31,0.0,0.0,480.0,0.0
370,TMF011,4,MAT,2023-12-31,0.0,0.0,480.0,0.0
371,TMF011,4,VES,2023-12-31,0.0,0.0,480.0,0.0
372,TMF014,5,NOT,2023-12-01,0.0,0.0,480.0,0.0
373,TMF014,5,MAT,2023-12-01,0.0,0.0,480.0,0.0
374,TMF014,5,VES,2023-12-01,0.0,20.0,480.0,0.041666666666666664
375,TMF014,5,NOT,2023-12-02,0.0,0.0,480.0,0.0
376,TMF014,5,MAT,2023-12-02,0.0,0.0,480.0,0.0
